name
"Burck,  Henry"
"Wolff,  Eric"
"Hermann,  Hans"
"Rummel,  Walter  Morse"
"Neidlinger,  William  Harold"
"Wells,  John  Barnes"
"Brewer,  Sir  Alfred  Herbert"
"Carpenter,  John  Alden"
"Hinton,  Arthur"
"Lieurance,  Thurlow"
"Rogers,  James  H."
"Mayseder,  Joseph"
"Maryon,  Edward"
"Schoenberg,  Arnold"
"Dargomiszky,  Alexander"
"Aubert,  Louis"
"Barnaby,  Gunn"
"Adam,  Adolphe  Charles"
"Godowsky,  Leopold"
"Severn,  Edmund"
"Campbell-Tipton,  Louis"
"Scott,  Cyril"
"Mason,  Daniel  Gregory"
"Bingham,  Seth"
"Kalinnikov,  Vassili"
"Smith,  David  Stanley"
"Horsman,  Edward  Imeson, Jr."
"Lehmann,  Liza"
"Sharp,  Earl  Cranston"
"Horn,  Charles  Edward"
"Lange,  Samuel  de, Jr."
"Kramer,  Alex  Walter"
"Taylor,  Deems"
"Merikanto,  Oskar"
"Palmgren,  Selim"
"Riedel,  Karl  Heinrich"
"Wilbye,  John"
"Battishill,  Jonathan"
"Ponchielli,  Amilcare"
"Ivanovici,  Ion"
"Johnstone,  Maurice"
"Loomis,  Harvey  Worthington"
"Rogers,  Frederic"
"Burleigh,  Henry [Harry]  Thacker"
"Clough-Leighter,  Henry"
"Floridia,  Pietro"
"Fletcher,  Percy"
"Ware,  Harriet"
"Lohr [Löhr],  Herman"
"Salter,"
"Mollison,"
"Russell,"
"Leroux,  Xavier  Henry Napoleon"
"Granados,  Enrique"
"Sibella,  Gabrielle"
"Rabaud,  Henri"
"Zimbalist,  Efrem"
"Hegar,  Friedrich"
"Reinthaler,  Karl"
"Mair,  Franz"
"Elsenheimer,  N.  J."
"Goldmark,  Rubin"
"Vogrich,  Max  Wilhelm Karl"
"David,  Felicien  Cesar"
"Georges,  Alexandre"
"Otterstrom,  Thorvald"
"McCabe,  James  J."
"Woodman,  Raymond  Huntington"
"Steffe,  William"
"Foster,  Stephen  Collins"
"Homer,  Sidney"
"Stokowski,  Leopold"
"Osgood,  James  R."
"Bridge,  Frank"
"Hubay,  Jeno"
"Whithorne,  Emerson"
"Bloch,  Ernest"
"Redhead,  Richard"
"Stillman-Kelley,  Edgar"
"Fourdrain,  Félix  Alfred"
"Arensky,  Anton  Stepanovich"
"Mana Zucca,"
"McFadyen,"
"Sans Souci,  Gertrude"
"Chiaffarelli,  Albert"
"Hill,  Edward  Burlingame"
"Sowerby,  Leo"
"Dvorsky,  Michel"
"Smith,  John  Stafford"
"Lisle,  Claude-Joseph  R. De"
"Greef,  Arthur  De"
"Geral,"
"Wilson,  Mortimer"
"Messager,  Andre [André]  Charles Prosper"
"Ippolitov-Ivanov,  Mikhail"
"Bourk,  Richard  C."
"Sabata,  Victor  De"
"Sweet,  Reginald"
"Boulanger,  Lili"
"Lorenziti,  Bernard"
"Strube,  Gustav"
"Borowski,  Felix"
"Casella,  Alfredo"
"Mouquet,  Jules"
"Respighi,  Ottorino"
"Powell,  John"
"Ganz,  Rudolph"
"Morris,  Harold"
"Cutler,  Henry  Stephen"
"Benoit,  Peter"
"Bartok [Bartók],  Béla"
"Dupont,  Gabriel"
"Rogers,  Bernard"
"McKinley,  Carl"
"Turina,  Joaquin"
"Novak,  Vitezslav"
"Griffes,  Charles  Tomlinson"
"Pierce,  Seneca"
"Hageman,  Richard"
"Lazzari,  Sylvio"
"Steinberg,  Maximilian"
"Maxwell,  Elsa"
"Speaks,  Oley"
"X,  Alfonso"
"Boito,  Arrigo"
"Riesenfeld,  Hugo"
"Tommasini,  Vincenzo"
"Albeniz [Albéniz],  Isaac"
"Maloof,  A."
"Sachnowsky,  G."
"Lieber,  Arthur"
"Malipiero,  Gian  Francesco"
"Kekeu,"
"Alfven [Alfvén],  Hugo"
"Gliere [Glière],  Reinhold"
"Vaughan Williams,  Ralph"
"Labate,  Bruno"
"Yon,  Pietro  Alessandro"
"Grant,"
"O'Hara,  Geoffrey"
"Parbury,"
"Wagenaar,  Johan"
"Dohnanyi,  Erno  von"
"Corelli,  Arcangelo"
"Thrane,  Waldemar"
"Leoni,  Franco"
"Gruenberg,  Louis"
"Faccio,  Franco"
"Skilton,  Charles  Sanford"
"Berners,  Lord"
"Karlowicz,  Mieczyslaw"
"Lalande,  Michel-Richard  De"
"Le Flem,  Paul"
"Holst,  Gustav"
"Williams,  John  Gerard"
"Prokofiev,  Sergei"
"Philippe,"
"Hammond,  William  G."
"Goossens,  Eugene"
"Leginska,  Ethel"
"Vittoria,  Tomasso"
"Kallinnikof,  Ivanof"
"Waddington,  Samuel  P."
"Rogers,"
"Pizzetti,  Ilderbando"
"Dopper,  Cornelius"
"Diepenbrock,  Alphons"
"Goudoever,  H.D.  van"
"Faning,  Eaton"
"Scalero,  Rosario"
"Mengelberg,  Willem"
"Watts,  Wintter"
"Dunham,  Henry  M."
"Hosmer,  Lucius"
"Breil,  Joseph  C."
"Halvorsen,  Johan"
"Luigini,  Alexandre"
"Dunn,  James  Philip"
"Langley,  Allan  Lincoln"
"Weiner,  Leo"
"Savine,  Alexander"
"Bach,  Carl  Philipp Emanuel"
"Fairchild,  Blair"
"Costeley,  Guillaume"
"Moya,  Antoni  Perez"
"Donostia,  Padre  (San Sebastian, P. Jose Antonio ne Zulaica)"
"Romen,  Louis"
"Buck,  Dudley"
"Wetzler,  Hermann  Hans"
"Anrooy,  Peter  G. Van"
"Burgmein,  J."
"Rebikov,  Vladimir  Ivanovich"
"Schreker,  Franz"
"Toch,  Ernst"
"Saminsky,  Lazare"
"Pick-Mangiagalli,  Riccardo"
"Kornauth,  Egon"
"Riegger,  Wallingford"
"Kidder,  Max"
"Reiser,  Alois"
"Novick,  Nathan"
"Marcelli,  Nino"
"Bach, J. S. -Gounod,"
"Scarlatti,  Alessandro"
"Dale,  Benjamin  James"
"Falla,  Manuel  de"
"Saboly,  Nicolas"
"Schroeder,  William"
"Geissel,  J."
"Becket,  Thomas  A."
"Hanson,  Howard"
"Casadesus,  Robert"
"Schuecker,  Edmund"
"Bellison,  Simeon"
"Gallico,  Paolo"
"Andreae,  Volkmar"
"Mengelberg,  Rudolf"
"Stoessel,  Albert"
"Schreiner,  Alexander"
"Komzak,  Karl"
"Weismann,  Julius"
"Hellmesberger,  Joseph, Jr."
