work_id,name,role,instrument
4085*1,"Reitzel, F.",A,Flute
4085*1,"Ohlemann, L.",A,Oboe
4085*1,"Drescher, J. E.",A,Clarinet
4085*1,"Schmitz, Henry",A,French Horn
4085*1,"Eltz, Paul",A,Bassoon
4085*2,"Reitzel, F.",A,Flute
4085*2,"Ohlemann, L.",A,Oboe
4085*2,"Drescher, J. E.",A,Clarinet
4085*2,"Schmitz, Henry",A,French Horn
4085*2,"Eltz, Paul",A,Bassoon
8834*4,"Bouchelle, Wallace",S,Vocalist
52502*,"Burke, Joseph",S,Violin
6709*4,Klein,S,Vocalist
4094*,"Saar, William",S,Piano
4098*,"Bouchelle, Wallace",S,Vocalist
3475*13,Klein,S,Vocalist
8838*2,"Bostwick, Emma Gillingham",S,Vocalist
52495*,"Scharfenberg, William",S,Piano
4106*,"Bostwick, Emma Gillingham",S,Vocalist
4106*,"Eben, Felix J.",A,Flute
4110*,"Haase, Carl F.W.",S,Trumpet
4113*,"Scharfenberg, William",S,Piano
4113*,"Timm, Henry C.",S,Piano
4119*,"Tourny, Mina",S,Vocalist
4119*,"Tourny, Louisa",S,Vocalist
4123*,"Tourny, Mina",S,Vocalist
4123*,"Tourny, Louisa",S,Vocalist
7773*1,"Timm, Henry C.",S,Piano
4126*,"Tourny, Mina",S,Vocalist
4130*,"Noll, Joseph",S,Violin
4130*,"Reyer, H.",S,Violin
4130*,"Eichhorn, Louis",S,Cello
4133*1,"Tourny, Mina",S,Vocalist
4135*,Siedenburg,S,Vocalist
4140*,"Julien, Paul",S,Violin
4143*,Siedenburg,S,Vocalist
4152*1,"Burke, Joseph",S,Violin
4155*,Root's Quartette Party,S,Vocalist
3712*,"Kyle, John A.",S,Flute
3712*,"Gröneveldt, W. Theodore",S,Clarinet
4158*,Root's Quartette Party,S,Vocalist
8957*18,"Jaques, Rosa",S,Vocalist
8957*18,"Mayer, Philip",S,Baritone
50731*,"Gockel, August",S,Piano
3745*2,"Mayer, Philip",S,Baritone
4173*,"Gockel, August",S,Piano
4170*1,"Jaques, Rosa",S,Vocalist
4179*,"Aptommas, Thomas",S,Harp
8849*4,"Bostwick, Emma Gillingham",S,Vocalist
4182*,"Hahn, C.",S,Violin
4187*,"Bostwick, Emma Gillingham",S,Vocalist
4189*,"Aptommas, Thomas",S,Harp
150*3,"Brainerd, Maria S.",S,Soprano
4196*,"Eltz, Paul",S,Bassoon
53976*20,"Brainerd, Maria S.",S,Soprano
4202*2,"Schumann, Julius",S,Vocalist
4206*,"Burke, Joseph",S,Violin
1587*2,"Hoffman, Richard",S,Piano
1587*3,"Hoffman, Richard",S,Piano
52552*48,"Schumann, Julius",S,Vocalist
3745*2,"Mayer, Philip",S,Baritone
4225*,"Schmitz, Henry",S,French Horn
4225*,"Knaebel, Simon",S,French Horn
4228*,"Wallace, William Vincent",S,Piano
4228*,"Wallace, W.V.",S,Piano
4233*,"Mayer, Philip",S,Baritone
6709*13,"Lehmann, Caroline",S,Soprano
4248*,"Aptommas, Thomas",S,Harp
2399*,"Aptommas, Thomas",A,Harp
5861*1,"Lehmann, Caroline",S,Soprano
4237*,"Kiefer, Xavier",S,Clarinet
3718*1,"Lehmann, Caroline",S,Soprano
4255*,"Urso, Camilla",S,Violin
51682*2,"Lehmann, Caroline",S,Soprano
4260*1,"Schreiber, Louis",S,Cornet
4266*1,"Mayer, Philip",S,Baritone
8948*6,"Stuart, Georgiana R.",S,Vocalist
3548*,"Satter, Gustave",S,Piano
4270*,"Stuart, Georgiana R.",S,Vocalist
3745*2,"Mayer, Philip",S,Baritone
52506*8,Mendelssohn Union,S,Chorus
52506*6,"Brinkerhoff, Clara",S,Vocalist
52506*6,Unknown Soloist,S,Vocalist
52506*6,Unknown Soloist,S,Vocalist
52506*3,Mendelssohn Union,S,Chorus
50731*,"Mason, William",S,Piano
4290*1,"Dingley, C. A.",S,Vocalist
4290*1,Mendelssohn Union,S,Chorus
4237*,"Kiefer, Xavier",S,Clarinet
8837*85,"Lehmann, Caroline",S,Soprano
4241*,"Schreiber, Louis",S,Trumpet
2830*,"Lehmann, Caroline",S,Soprano
2830*,"Timm, Henry C.",A,Piano
1587*2,"Hoffman, Richard",S,Piano
1587*3,"Hoffman, Richard",S,Piano
52552*18,"Feder, Otto",S,Vocalist
4305*1,"Mollenhauer, Edward",S,Violin
4305*1,"Mollenhauer, Friedrich",S,Violin
4309*,"Feder, Otto",S,Vocalist
6059*,"Feder, Otto",S,Vocalist
4298*,"Mollenhauer, Edward",S,Violin
4317*1,"Badiali, Caesare",S,Baritone
50648*,"Schmitz, Henry",S,French Horn
4322*1,"Aptommas, Thomas",S,Harp
8860*1,"Badiali, Caesare",S,Baritone
52487*,"Hoffman, Richard",S,Piano
52502*,"Burke, Joseph",S,Violin
8095*1,"Mollenhauer, Edward",S,Violin
4337*1,"Badiali, Caesare",S,Baritone
4317*1,"Badiali, Caesare",S,Baritone
4341*,"Mollenhauer, Edward",S,Violin
4341*,"Mollenhauer, Friedrich",S,Violin
8849*4,"La Grange, Anna De",S,Soprano
4357*,"Doehler, William",S,Violin
9027*1,"Goldbeck, Robert",S,Piano
4364*,"Goldbeck, Robert",S,Piano
4367*,"Goldbeck, Robert",S,Piano
4372*,"La Grange, Anna De",S,Soprano
8863*6,Johannsen Scheerer,S,Vocalist
8863*6,"Kiefer, Xavier",A,Clarinet
5138*1,"Gottschalk, Louis Moreau",S,Piano
4379*1,Johannsen Scheerer,S,Vocalist
4383*,"Gottschalk, Louis Moreau",S,Piano
4383*,"Guyon, Emile",S,Piano
3888*19,"Roode, Marie De",S,Vocalist
4393*,"Mollenhauer, Edward",S,Violin
8834*4,"Roode, Marie De",S,Vocalist
4298*,"Mollenhauer, Edward",S,Violin
52506*4,"Brainerd, Maria S.",S,Soprano
52999*,"Timm, Henry C.",S,Piano
3867*2,"Brainerd, Maria S.",S,Soprano
6709*13,"Milner, Annie",S,Soprano
4419*,"Mollenhauer, Henry",S,Cello
4423*,"Mollenhauer, Henry",S,Cello
8838*2,"Milner, Annie",S,Soprano
8955*5,Labocetta,S,Tenor
4428*,"Johnson-Gräver, Madeleine",S,Piano
4431*1,Gassier,S,Baritone
4431*1,Abella,A,Piano
8849*6,"D'Angri, Elena",S,Vocalist
4237*,"Kiefer, Xavier",S,Clarinet
5138*2,"Mason, William",S,Piano
5138*3,"Mason, William",S,Piano
4441*1,"D'Angri, Elena",S,Vocalist
8957*15,"D'Angri, Elena",S,Vocalist
8849*4,"Milner, Annie",S,Soprano
1671*,"Cooper, Henry C.",S,Violin
4445*,"Milner, Annie",S,Soprano
4445*,"Cooper, Henry C.",S,Violin
4452*,"Timm, Henry C.",A,Piano
8863*6,"Andem, Hattie",S,Soprano
4266*1,"Mayer, Philip",S,Baritone
4455*,"Mollenhauer, Edward",S,Violin
4455*,"Noll, Joseph",S,Violin
4455*,"Matzka, George",S,Viola
4455*,"Bergner, Frederick",S,Cello
4460*,"Mayer, Philip",S,Baritone
4460*,"Brannes, Charles",A,Cornet
4464*1,"Schreiber, Louis",S,Cornet
4263*2,"Andem, Hattie",S,Soprano
52495*,"Johnson-Gräver, Madeleine",S,Piano
8837*42,Arion Choral Society,S,Mens Chorus
8837*42,Teutonia Choral Society,S,Chorus
52502*,"Wollenhaupt, Bruno",S,Violin
9000*6,Arion Choral Society,S,Mens Chorus
9000*6,Teutonia Choral Society,S,Chorus
3718*2,"Couran, Marie Elina",S,Soprano
1587*2,"Saar, William",S,Piano
1587*3,"Saar, William",S,Piano
4486*,"Couran, Marie Elina",S,Soprano
4489*,"Saar, William",S,Piano
4493*,"Saar, William",S,Piano
3745*2,"Mayer, Philip",S,Baritone
551*,"Mills, Sebastian Bach",S,Piano
4501*,"Mayer, Philip",S,Baritone
4501*,"Brannes, Charles",A,Cornet
4505*,"Mills, Sebastian Bach",S,Piano
53159*2,"Inman, F.",S,Soprano
4513*,"Hoffman, Richard",S,Piano
4516*1,"Inman, F.",S,Soprano
4520*,"Hoffman, Richard",S,Piano
9012*4,"Hoffman, Richard",S,Piano
8849*10,"Stigelli, Giorgio",S,Tenor
4528*,"Napoleon, Arthur",S,Piano
4532*,"Stigelli, Giorgio",S,Tenor
3467*,"Bishop, Anna",S,Soprano
3548*2,"Satter, Gustave",S,Piano
3548*3,"Satter, Gustave",S,Piano
150*3,"Bishop, Anna",S,Soprano
4548*,"Satter, Gustave",S,Piano
8955*7,Colson,S,Soprano
3940*,"Mills, Sebastian Bach",S,Piano
4561*,"Mills, Sebastian Bach",S,Piano
2835*1,Colson,S,Soprano
4337*1,"Centemeri, Pietro",S,Baritone
4567*,"Johnson-Gräver, Madeleine",S,Piano
4570*,"Johnson-Gräver, Madeleine",S,Piano
4575*1,"Centemeri, Pietro",S,Baritone
4579*,"Mayer, Philip",S,Baritone
4579*,"Schreiber, Louis",A,Cornet
8834*4,"Johannsen, Bertha",S,Soprano
8955*5,"Stigelli, Giorgio",S,Tenor
4583*,Liederkranz of the City of New York,S,Mens Chorus
52461*,"Johannsen, Bertha",S,Soprano
52461*,Zimmermann,S,Alto
52461*,"Stigelli, Giorgio",S,Tenor
52461*,"Mayer, Philip",S,Baritone
52461*,Liederkranz of the City of New York,S,Mens Chorus
3867*3,Dummler Schroeder,S,Soprano
4591*,"Noll, Joseph",S,Violin
9003*8,Dummler Schroeder,S,Soprano
551*,"Mills, Sebastian Bach",S,Piano
4599*,"Bergner, Frederick",S,Cello
4604*,"Mills, Sebastian Bach",S,Piano
4606*,Liederkranz of the City of New York,S,Mens Chorus
4612*,"Schreiber, Louis",S,Cornet
4618*,Liederkranz of the City of New York,S,Mens Chorus
4621*,"Schreiber, Louis",S,Cornet
51049*,"Hoffman, Richard",S,Piano
4624*,"Mollenhauer, Edward",S,Violin
4627*,"Hoffman, Richard",S,Piano
4632*,"Hoffman, Richard",S,Piano
3467*,"Brainerd, Maria S.",S,Soprano
4635*,"Saar, William",S,Piano
52509*,Liederkranz of the City of New York,S,Mens Chorus
53973*4,Harmonic Society,S,Chorus
5100*,"Doehler, William",S,Violin
5103*,"Wooster, G. W.",S,Vocalist
5105*,"Stoepel, Helene",S,Vocalist
5110*,Harmonic Society,S,Chorus
5120*,"Brainerd, Maria S.",S,Soprano
3700*3,"Eben, Felix J.",S,Flute
3734*2,"Brignoli, Pasquale",S,Tenor
3734*2,"Susini, Augustino",S,Bass
51710*3,"Hinkley, Isabella",S,Mezzo-Soprano
53957*3,Harmonic Society,S,Chorus
5121*,"Parker, S. Lizzie",S,Soprano
1810*3,"Susini, Augustino",S,Bass
5125*,"Brainerd, Maria S.",S,Soprano
5127*,"Mills, Sebastian Bach",S,Piano
5132*,Harmonic Society,S,Chorus
5136*,"Rowcroft, Emma",S,Soprano
5140*,"Brignoli, Pasquale",S,Tenor
51682*2,"Hinkley, Isabella",S,Mezzo-Soprano
3965*,"Stoepel, Helene",S,Vocalist
3965*,"Brainerd, Maria S.",S,Soprano
3965*,"Parker, S. Lizzie",S,Soprano
3965*,"Hinkley, Isabella",S,Mezzo-Soprano
3700*2,"Fay, Abby",S,Soprano
3181*,"Mills, Sebastian Bach",S,Piano
4379*1,"Fay, Abby",S,Soprano
4643*,"Mills, Sebastian Bach",S,Piano
7515*,"Centemeri, Pietro",S,Baritone
7515*,"Timm, Henry C.",A,Organ
2068*,"Mollenhauer, Edward",S,Violin
4652*,"Centemeri, Pietro",S,Baritone
4652*,"Schmitz, Henry",A,Cornet
52506*5,"Ridolfi, F.",S,Baritone
1847*1,"Hartmann, Ernst",S,Piano
8838*1,"Ridolfi, F.",S,Baritone
9250*,"Hartmann, Ernst",S,Piano
4660*,"Schmitz, Henry",S,French Horn
3467*,Ludecus,S,Soprano
4664*,"Goldbeck, Robert",S,Piano
462*1,Ludecus,S,Soprano
4672*,"Eltz, Paul",S,Bassoon
5379*1,"Wollenhaupt, Bruno",S,Violin
51049*,"Hoffman, Richard",S,Piano
4682*,"Letsch, Frederick",S,Trombone
5643*,"Mason, William",S,Piano
52502*,"Mollenhauer, Edward",S,Violin
4685*,"Mason, William",S,Piano
4695*,"Centemeri, Pietro",S,Baritone
52487*,"Pattison, J. N.",S,Piano
8957*8,"Centemeri, Pietro",S,Baritone
4698*,"Pattison, J. N.",S,Piano
1803*1,"Thomas, J. B.",S,Tenor
3163*,"Mills, Sebastian Bach",S,Piano
9251*,"Thomas, J. B.",S,Tenor
4717*,"Mills, Sebastian Bach",S,Piano
4710*,"Mills, Sebastian Bach",S,Piano
3888*28,"Perring, J. Ernst",S,Tenor
8614*1,"Urso, Camilla",S,Violin
8614*2,"Urso, Camilla",S,Violin
4724*,"Bergner, Frederick",S,Cello
2861*,"Perring, J. Ernst",S,Tenor
4182*,"Urso, Camilla",S,Violin
52495*,"Hoffman, Richard",S,Piano
4736*,"Schreiber, Louis",S,Cornet
4740*,"Hoffman, Richard",S,Piano
9012*4,"Hoffman, Richard",S,Piano
6709*13,"Kellogg, Clara Louise",S,Soprano
4744*,"Mills, Sebastian Bach",S,Piano
4750*,"Mills, Sebastian Bach",S,Piano
4747*,"Kellogg, Clara Louise",S,Soprano
8849*4,"Lorini, Virginia",S,Soprano
4754*,"Goldbeck, Robert",S,Piano
4757*,"Goldbeck, Robert",S,Piano
4761*,"Lorini, Virginia",S,Soprano
4761*,"Noll, Joseph",A,Violin
51060*,Arion Choral Society,S,Mens Chorus
51060*,"Quint, Louis",S,Tenor
51060*,"Timm, Henry C.",A,Organ
4765*,Arion Choral Society,S,Mens Chorus
4769*,"Hermanns, Joseph",S,Bass
8957*4,Rotter,S,Soprano
2068*1,"Mollenhauer, Edward",S,Violin
51857*,Rotter,S,Soprano
51857*,Paulitsch,S,Soprano
51857*,"Quint, Louis",S,Tenor
51857*,Liederkranz of the City of New York,S,Mens Chorus
9187*2,"Lotti, William",S,Tenor
